Date,User ID,Email,Is Active,Chat Suggested Lines Added,Chat Suggested Lines Deleted,Chat Accepted Lines Added,Chat Accepted Lines Deleted,Chat Total Applies,Chat Total Accepts,Chat Total Rejects,Chat Tabs Shown,Tabs Accepted,Edit Requests,Ask Requests,Agent Requests,Cmd+K Usages,Subscription Included Reqs,API Key Reqs,Usage Based Reqs,Bugbot Usages,Most Used Model,Most Used Apply Extension,Most Used Tab Extension,Client Version
2025-04-24T00:00:00.000Z,50432902,justin53@yahoo.com,True,209,38,28,14,11,6,5,16,6,0,0,9,0,9,0,0,0,default,go,graphql,0.49.4
2025-04-24T00:00:00.000Z,186637084,sarahanderson@smith.com,True,179,71,0,0,6,0,5,0,0,0,4,0,0,0,0,0,0,default,go,,0.48.9
2025-04-24T00:00:00.000Z,194694203,samantha99@middleton.com,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2025-04-24T00:00:00.000Z,194767458,julia38@torres.org,True,104,12,0,0,6,0,4,0,0,0,0,24,0,0,0,24,0,claude-3.7-sonnet-max,ts,,0.49.4
2025-04-25T00:00:00.000Z,50432902,justin53@yahoo.com,True,97,38,7,7,11,2,9,3,0,7,0,2,0,9,0,0,0,default,tsx,tsx,0.49.5
2025-04-25T00:00:00.000Z,186637084,sarahanderson@smith.com,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2025-04-25T00:00:00.000Z,194694203,samantha99@middleton.com,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2025-04-25T00:00:00.000Z,194767458,julia38@torres.org,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2025-04-26T00:00:00.000Z,50432902,justin53@yahoo.com,True,897,329,407,145,43,21,18,64,16,0,0,21,2,23,0,0,0,claude-3.7-sonnet,tsx,tsx,0.49.5
2025-04-26T00:00:00.000Z,186637084,sarahanderson@smith.com,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2025-04-26T00:00:00.000Z,194694203,samantha99@middleton.com,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2025-04-26T00:00:00.000Z,194767458,julia38@torres.org,True,121,1,117,1,3,2,0,26,1,4,0,33,0,37,0,0,0,claude-3.7-sonnet-thinking,json,json,0.49.5
2025-04-27T00:00:00.000Z,50432902,justin53@yahoo.com,True,511,219,118,22,28,9,19,196,35,0,0,15,1,16,0,0,0,claude-3.7-sonnet,tsx,tsx,0.49.6
